"Excel Analysed Data Export"
"Copyright (c) 2013 QIAGEN GmbH. All Rights Reserved."
"File","Run 2024-12-04 Expt 333 Rotorgene.rex"
"Date","12/4/2024"
"Time","1:48:16 PM"

"Operator","NAM"
"Run Id",""
"Notes","I491 LDNA assay"
"Machine Serial No","0512168"

"Channel","Gain"
"Green","5"
"Yellow","5"
"Orange","5"
"Red","5"
"Crimson","7"
"ex green em orange 5","5"
"ex green em orange 7","7"
"ex green em green 5","5"
"ex green em green 7","7"
"ex green em green 9","9"
"ex green em orange 9","9"
"HRM","7"

"Channel","Threshold"
"Cycling A.ex green em green 7 (Page 1)","0.13128"
"Melt A.ex green em green 5 (Page 1)","0"
"Melt A.ex green em orange 5 (Page 1)","0"
"Melt A.ex green em green 7 (Page 1)","0"
"Melt A.ex green em orange 7 (Page 1)","0"
"Melt A.ex green em green 9 (Page 1)","0"
"Melt A.ex green em orange 9 (Page 1)","0"

"Quantitative analysis of Cycling A.ex green em green 7 (Page 1)"

"No.","Color","Name","Type","Ct","Ct Comment","Given Conc (Copies)","Calc Conc (Copies)","% Var","Rep. Ct","Rep. Ct Std. Dev.","Rep. Ct (95% CI)","Rep. Calc. Conc.","Rep. Calc. Conc. (95% CI)"
"1","8421504","NTC","NTC","38.51","","","","","38.51","","","",""
"2","32768","WT I491 MEP491-2","Unknown","15.85","","","","","15.86","0.05","[15.74 , 15.98]","",""
"3","255","I491F MEP492-2 B","Unknown","19.38","","","","","19.42","0.04","[19.33 , 19.52]","",""
"4","16711680","I491N MEP493","Unknown","19.80","","","","","19.87","0.77","[17.96 , 21.77]","",""
"5","16711808","I491M MEP494","Unknown","19.69","","","","","19.54","0.36","[18.64 , 20.44]","",""
"6","8421504","NTC","NTC","","","","","","","","","",""
"7","32768","WT I491 MEP491-2","Unknown","15.92","","","","","","","","",""
"8","255","I491F MEP492-2 B","Unknown","19.46","","","","","","","","",""
"9","16711680","I491N MEP493","Unknown","19.13","","","","","","","","",""
"10","16711808","I491M MEP494","Unknown","19.13","","","","","","","","",""
"11","8421504","NTC","NTC","","","","","","","","","",""
"12","32768","WT I491 MEP491-2","Unknown","15.82","","","","","","","","",""
"13","255","I491F MEP492-2 B","Unknown","19.43","","","","","","","","",""
"14","16711680","I491N MEP493","Unknown","20.66","","","","","","","","",""
"15","16711808","I491M MEP494","Unknown","19.80","","","","","","","","",""



"Melt analysis of Melt A.ex green em green 5 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"31","16777215","","","76.0","91.5","","","","",""
"32","16777215","","","71.0","83.0","","","","",""
"33","16777215","","","66.8","73.3","77.0","81.0","84.5","87.5","92.2"
"34","16777215","","","70.8","76.0","83.3","89.0","","",""
"35","16777215","","","72.0","76.5","82.3","85.5","92.3","",""
"36","16777215","","","66.0","77.0","84.2","90.2","","",""



"Melt analysis of Melt A.ex green em green 9 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6","Peak 7"
"1","8421504","NTC","","75.5","82.0","","","","",""
"2","32768","WT I491 MEP491-2","","66.5","75.8","85.3","","","",""
"3","255","I491F MEP492-2 B","","72.7","85.2","","","","",""
"4","16711680","I491N MEP493","","73.2","84.8","","","","",""
"5","16711808","I491M MEP494","","72.7","84.2","","","","",""
"6","8421504","NTC","","67.3","75.5","88.2","92.0","","",""
"7","32768","WT I491 MEP491-2","","66.8","76.0","85.5","","","",""
"8","255","I491F MEP492-2 B","","66.5","73.0","85.5","","","",""
"9","16711680","I491N MEP493","","66.3","73.0","85.0","","","",""
"10","16711808","I491M MEP494","","66.3","72.5","84.8","","","",""
"11","8421504","NTC","","75.0","83.0","88.5","","","",""
"12","32768","WT I491 MEP491-2","","76.0","85.8","","","","",""
"13","255","I491F MEP492-2 B","","73.2","85.7","","","","",""
"14","16711680","I491N MEP493","","73.3","85.3","","","","",""
"15","16711808","I491M MEP494","","73.2","84.5","","","","",""
"27","16777215","","","71.3","82.5","88.0","","","",""
"28","16777215","","","72.5","76.8","82.7","91.3","","",""
"29","16777215","","","69.0","74.0","77.7","83.0","87.0","90.8",""
"30","16777215","","","66.0","73.2","77.5","81.7","90.0","",""
"31","16777215","","","82.5","87.5","","","","",""
"32","16777215","","","72.8","77.8","82.8","87.5","92.7","",""
"33","16777215","","","69.2","73.0","77.5","83.0","91.0","",""
"34","16777215","","","67.3","75.0","80.5","89.7","","",""
"35","16777215","","","68.2","72.0","77.3","82.5","87.0","89.5","92.5"
"36","16777215","","","76.7","82.5","","","","",""



"Melt analysis of Melt A.ex green em orange 9 (Page 1)"

"No.","Color","Name","Genotype","Peak 1","Peak 2","Peak 3","Peak 4","Peak 5","Peak 6"
"1","8421504","NTC","","67.2","75.0","83.5","88.5","92.2",""
"2","32768","WT I491 MEP491-2","","68.3","75.5","87.0","","",""
"3","255","I491F MEP492-2 B","","74.7","83.5","","","",""
"4","16711680","I491N MEP493","","67.0","73.0","75.2","83.7","93.0",""
"5","16711808","I491M MEP494","","69.0","73.5","84.7","89.5","",""
"6","8421504","NTC","","68.3","72.5","92.0","","",""
"7","32768","WT I491 MEP491-2","","67.2","74.8","85.0","93.7","",""
"8","255","I491F MEP492-2 B","","70.5","75.5","84.7","","",""
"9","16711680","I491N MEP493","","75.3","84.0","","","",""
"10","16711808","I491M MEP494","","71.2","75.2","","","",""
"11","8421504","NTC","","68.3","75.5","86.0","89.0","",""
"12","32768","WT I491 MEP491-2","","75.3","85.3","","","",""
"13","255","I491F MEP492-2 B","","75.5","84.8","91.5","","",""
"14","16711680","I491N MEP493","","70.3","75.3","84.5","","",""
"15","16711808","I491M MEP494","","72.5","75.5","84.5","93.3","",""
"27","16777215","","","80.8","","","","",""
"28","16777215","","","67.5","75.5","82.0","89.3","92.7",""
"29","16777215","","","71.2","76.7","90.2","","",""
"30","16777215","","","70.5","76.0","87.2","","",""
"31","16777215","","","71.0","77.7","80.5","88.7","93.0",""
"32","16777215","","","67.5","75.2","82.0","85.7","91.5",""
"33","16777215","","","67.2","73.0","84.0","89.0","",""
"34","16777215","","","68.8","72.8","77.3","81.7","87.5","92.7"
"35","16777215","","","71.0","77.3","89.0","92.5","",""
"36","16777215","","","66.5","74.2","81.5","88.2","92.7",""



